frame,landmark,x,y,z,visibility
0,0,0.010391032,-0.10064276,0.0,1.0
0,1,-0.08553143,-0.07943585,0.022587888,1.0
0,2,-0.07472177,-0.5125838,0.021783948,1.0
0,3,-0.12085621,-0.9947964,-0.1394472,1.0
0,4,0.105098926,-0.08648036,0.02758861,1.0
0,5,0.11706374,-0.59981936,-0.025555357,1.0
0,6,0.08231771,-1.0087843,-0.14303963,1.0
0,7,0.019821163,0.234017,-0.04335357,1.0
0,8,0.02687104,0.5808253,-0.10705717,1.0
0,9,0.013100446,0.62297046,-0.12658189,1.0
0,10,0.021404617,0.66062856,-0.13657579,1.0
0,11,0.17286643,0.43175912,-0.122418925,1.0
0,12,0.27356994,0.31913176,-0.038767785,1.0
0,13,0.35877413,0.19488737,-0.027008016,1.0
0,14,-0.11545636,0.51485693,-0.115915366,1.0
0,15,-0.19993062,0.343253,-0.0020221018,1.0
0,16,-0.27092743,0.26603764,0.00019222079,1.0
1,0,0.0102825,-0.10023567,-0.0036380526,1.0
1,1,-0.08565972,-0.079237044,0.02267632,1.0
1,2,-0.07467005,-0.5116961,0.021462016,1.0
1,3,-0.11820572,-0.9951544,-0.13782997,1.0
1,4,0.10513382,-0.08638686,0.02764597,1.0
1,5,0.117391795,-0.5990726,-0.025907492,1.0
1,6,0.08309899,-1.0089569,-0.14152347,1.0
1,7,0.019402646,0.23324384,-0.04342503,1.0
1,8,0.02629821,0.5795014,-0.10714491,1.0
1,9,0.012337335,0.6216942,-0.1264912,1.0
1,10,0.020614494,0.659196,-0.13654014,1.0
1,11,0.1721485,0.43021742,-0.12254962,1.0
1,12,0.27120394,0.31544584,-0.03915113,1.0
1,13,0.34811956,0.18269002,-0.0232418,1.0
1,14,-0.115618065,0.5131106,-0.1158972,1.0
1,15,-0.20072575,0.33830616,-0.001897379,1.0
1,16,-0.2681295,0.24719396,0.002302634,1.0
2,0,0.0101572275,-0.09990251,-0.0036865498,1.0
2,1,-0.0857753,-0.07913004,0.022591947,1.0
2,2,-0.07450661,-0.5106653,0.020837326,1.0
2,3,-0.11555579,-0.99518526,-0.1362406,1.0
2,4,0.105139345,-0.08632096,0.027569998,1.0
2,5,0.11761738,-0.5982396,-0.02653942,1.0
2,6,0.08388416,-1.0092063,-0.1401397,1.0
2,7,0.018914253,0.23227446,-0.043802496,1.0
2,8,0.025623105,0.57782704,-0.10727439,1.0
2,9,0.011401827,0.62001693,-0.12645376,1.0
2,10,0.019691885,0.65737796,-0.13651659,1.0
2,11,0.1715453,0.42838064,-0.12277493,1.0
2,12,0.26879936,0.31098384,-0.03967487,1.0
2,13,0.33750352,0.17055422,-0.020248637,1.0
2,14,-0.11586334,0.5109532,-0.11598506,1.0
2,15,-0.20115754,0.33307955,-0.0018584558,1.0
2,16,-0.26466125,0.23019442,0.0037826262,1.0
3,0,0.010036846,-0.099651694,-0.0037440062,1.0
3,1,-0.085880935,-0.079021506,0.02248646,1.0
3,2,-0.0743348,-0.5097481,0.020042345,1.0
3,3,-0.11229194,-0.9941255,-0.13398358,1.0
3,4,0.10520387,-0.08626328,0.027451074,1.0
3,5,0.11795351,-0.5974847,-0.027329693,1.0
3,6,0.085011825,-1.0088608,-0.13845742,1.0
3,7,0.018317042,0.2313134,-0.04419096,1.0
3,8,0.024713777,0.57604456,-0.10735328,1.0
3,9,0.0101270145,0.6180364,-0.12638888,1.0
3,10,0.018469226,0.655216,-0.13645154,1.0
3,11,0.17087486,0.42647022,-0.123193204,1.0
3,12,0.26567286,0.30556062,-0.03999862,1.0
3,13,0.32489043,0.15772355,-0.01734546,1.0
3,14,-0.11616302,0.5086117,-0.11618622,1.0
3,15,-0.20080462,0.32651424,-0.0017071979,1.0
3,16,-0.25905776,0.20925185,0.004527187,1.0
4,0,0.009894638,-0.0993264,-0.0038139224,1.0
4,1,-0.085894644,-0.07884847,0.022282382,1.0
4,2,-0.07428651,-0.5083269,0.019261502,1.0
4,3,-0.11039107,-0.993086,-0.13224882,1.0
4,4,0.10519622,-0.08611697,0.027271606,1.0
4,5,0.1182621,-0.59623635,-0.028130384,1.0
4,6,0.08589476,-1.0083373,-0.13706985,1.0
4,7,0.01767688,0.22998536,-0.04467679,1.0
4,8,0.023737743,0.5739767,-0.10740264,1.0
4,9,0.008918063,0.6157244,-0.12633654,1.0
4,10,0.017212141,0.65273404,-0.13641444,1.0
4,11,0.16992669,0.42462507,-0.123530634,1.0
4,12,0.26173592,0.3003385,-0.040026926,1.0
4,13,0.3113501,0.1473274,-0.015101569,1.0
4,14,-0.1163733,0.50637925,-0.11631987,1.0
4,15,-0.1993299,0.32002926,-0.001221563,1.0
4,16,-0.25096852,0.19113511,0.005678803,1.0
5,0,0.009766108,-0.098949306,-0.003928455,1.0
5,1,-0.085809685,-0.078531854,0.02193338,1.0
5,2,-0.07446551,-0.5065688,0.018194057,1.0
5,3,-0.110401064,-0.9916596,-0.13127515,1.0
5,4,0.10516272,-0.08584187,0.026966315,1.0
5,5,0.1186686,-0.59476876,-0.0292444,1.0
5,6,0.087246366,-1.0074923,-0.13624036,1.0
5,7,0.016948743,0.22871606,-0.045136135,1.0
5,8,0.02243974,0.57090914,-0.10751134,1.0
5,9,0.0072440933,0.612054,-0.12627578,1.0
5,10,0.015425532,0.6487702,-0.13638762,1.0
5,11,0.16856772,0.42250904,-0.12389647,1.0
5,12,0.25445056,0.2950081,-0.039338388,1.0
5,13,0.29540053,0.13939507,-0.011448409,1.0
5,14,-0.11643876,0.503893,-0.11648568,1.0
5,15,-0.19592994,0.31330392,-0.00013270648,1.0
5,16,-0.24084656,0.176757,0.007876355,1.0
6,0,0.009644914,-0.09870149,-0.0040157097,1.0
6,1,-0.085779816,-0.07848641,0.021662524,1.0
6,2,-0.074967764,-0.5052651,0.017827975,1.0
6,3,-0.111812875,-0.9913745,-0.13027717,1.0
6,4,0.105140105,-0.085792646,0.026757702,1.0
6,5,0.119164504,-0.5937941,-0.029723857,1.0
6,6,0.088666566,-1.0076835,-0.1354816,1.0
6,7,0.016352076,0.22774169,-0.045658387,1.0
6,8,0.021582782,0.5691966,-0.107608624,1.0
6,9,0.0062614344,0.60986483,-0.12631899,1.0
6,10,0.01425976,0.6464094,-0.1364272,1.0
6,11,0.16722819,0.42121828,-0.12418666,1.0
6,12,0.24950981,0.29023498,-0.03908968,1.0
6,13,0.28525028,0.13167095,-0.010825287,1.0
6,14,-0.11652988,0.50237226,-0.116632745,1.0
6,15,-0.19453251,0.30829316,0.00027206517,1.0
6,16,-0.23480833,0.16638929,0.008315264,1.0
7,0,0.009540125,-0.09831656,-0.0041405605,1.0
7,1,-0.08569476,-0.07824048,0.021433147,1.0
